"filename","name_orig","name_new"
newz098.rwl,STP093,auSM
newz098.rwl,STP094,auSN
newz098.rwl,STP097,auSO
newz098.rwl,STP098,auSP
newz098.rwl,STP099,auSQ
newz098.rwl,STP101,auSR
newz098.rwl,STP106,auSS
newz098.rwl,STP107,auST
newz098.rwl,STP109,auSU
newz098.rwl,STP110,auSV
newz098.rwl,STP112,auSW
newz098.rwl,STP113,auSX
newz098.rwl,STP116,auSY
newz098.rwl,STP127,auSZ
newz098.rwl,STP129,auTA
newz098.rwl,STP134,auTB
newz098.rwl,STP136,auTC
newz098.rwl,STP137,auTD
newz098.rwl,STP141,auTE
newz098.rwl,STP142,auTF
newz098.rwl,STP147,auTG
newz098.rwl,STP148,auTH
newz098.rwl,STP149,auTI
newz098.rwl,STP152,auTJ
newz097.rwl,TOW001,auTK
newz096.rwl,PIT001,auTL
newz095.rwl,MOR001,auTM
newz094.rwl,SCO001,auTN
newz094.rwl,SCO002,auTO
newz094.rwl,SCO004,auTP
newz094.rwl,SCO006,auTQ
newz094.rwl,SCO007,auTR
newz094.rwl,SCO009,auTS
newz094.rwl,SCO010,auTT
newz094.rwl,SCO011,auTU
newz094.rwl,SCO013,auTV
newz094.rwl,SCO015,auTW
newz094.rwl,SCO016,auTX
newz094.rwl,SCO017,auTY
newz094.rwl,SCO022,auTZ
newz093.rwl,ARN001,auUA
newz093.rwl,ARN002,auUB
newz093.rwl,ARN005,auUC
newz093.rwl,ARN006,auUD
newz093.rwl,ARN008,auUE
newz093.rwl,ARN010,auUF
newz093.rwl,ARN013,auUG
newz093.rwl,ARN014,auUH
newz093.rwl,ARN015,auUI
newz093.rwl,ARN016,auUJ
newz093.rwl,ARN017,auUK
newz093.rwl,ARN021,auUL
newz093.rwl,ARN023,auUM
newz093.rwl,ARN024,auUN
newz092.rwl,KON461,auUO
newz092.rwl,KON462,auUP
newz092.rwl,KON463,auUQ
newz092.rwl,KON471,auUR
newz092.rwl,KON472,auUS
newz092.rwl,KON473,auUT
newz092.rwl,KON481,auUU
newz092.rwl,KON482,auUV
newz092.rwl,KON483,auUW
newz092.rwl,KON491,auUX
newz092.rwl,KON492,auUY
newz092.rwl,KON493,auUZ
newz092.rwl,KON494,auVA
newz092.rwl,KON501,auVB
newz092.rwl,KON502,auVC
newz092.rwl,KON503,auVD
newz092.rwl,KON511,auVE
newz092.rwl,KON512,auVF
newz092.rwl,KON513,auVG
newz092.rwl,KON521,auVH
newz092.rwl,KON522,auVI
newz092.rwl,KON523,auVJ
newz092.rwl,KON531,auVK
newz092.rwl,KON532,auVL
newz092.rwl,KON533,auVM
newz092.rwl,KON541,auVN
newz092.rwl,KON542,auVO
newz092.rwl,KON543,auVP
newz092.rwl,KON551,auVQ
newz092.rwl,KON552,auVR
newz092.rwl,KON553,auVS
newz091.rwl,KAT0271,auVT
newz091.rwl,KAT0272,auVU
newz091.rwl,KAT0281,auVV
newz091.rwl,KAT0331,auVW
newz091.rwl,KAT0332,auVX
newz091.rwl,KAT0391,auVY
newz091.rwl,KAT0392,auVZ
newz091.rwl,KAT0393,auWA
newz091.rwl,KAT0401,auWB
newz091.rwl,KAT0402,auWC
newz091.rwl,KAT0403,auWD
newz091.rwl,KAT0404,auWE
newz091.rwl,KAT0411,auWF
newz091.rwl,KAT0412,auWG
newz091.rwl,KAT0423,auWH
newz091.rwl,KKB002E,auWI
newz091.rwl,KKBO02N,auWJ
newz091.rwl,KKB003E,auWK
newz091.rwl,KKB003N,auWL
newz091.rwl,KKB004S,auWM
newz091.rwl,KKB004N,auWN
newz091.rwl,KKB005W,auWO
newz091.rwl,KKB005N,auWP
newz091.rwl,KKB006W,auWQ
newz091.rwl,KKB006N,auWR
newz091.rwl,KKB007E,auWS
newz091.rwl,KKB007N,auWT
newz091.rwl,KKB008N,auWU
newz091.rwl,KKB008W,auWV
newz091.rwl,KKB009N,auWW
newz091.rwl,KKB009S,auWX
newz091.rwl,KKB010N,auWY
newz091.rwl,KKB010S,auWZ
newz091.rwl,KKB011S,auXA
newz091.rwl,KKB011N,auXB
newz090.rwl,MWL0511,auXC
newz090.rwl,MWL0513,auXD
newz090.rwl,MWL0521,auXE
newz090.rwl,MWL0522,auXF
newz090.rwl,MWL0523,auXG
newz090.rwl,MWL0571,auXH
newz090.rwl,MWL0572,auXI
newz090.rwl,MWL0631,auXJ
newz090.rwl,MWL0691,auXK
newz090.rwl,MWL0692,auXL
newz090.rwl,MWL0701,auXM
newz089.rwl,MOE002A,auXN
newz089.rwl,MOE002B,auXO
newz089.rwl,MOE002C,auXP
newz089.rwl,MOE002D,auXQ
newz089.rwl,MOE002E,auXR
newz089.rwl,MOE002F,auXS
newz089.rwl,MOE002H,auXT
newz089.rwl,MOE002K,auXU
newz089.rwl,MOE003A,auXV
newz089.rwl,MOE003C,auXW
newz089.rwl,MOE003D,auXX
newz089.rwl,MOE004A,auXY
newz089.rwl,MOE004B,auXZ
newz089.rwl,MOE004C,auYA
newz089.rwl,MOE004D,auYB
newz089.rwl,MOE004H,auYC
newz089.rwl,MOE006A,auYD
newz089.rwl,MOE006C,auYE
newz089.rwl,MOE006H,auYF
newz089.rwl,MOE006K,auYG
newz089.rwl,MOE008A,auYH
newz089.rwl,MOE008B,auYI
newz089.rwl,MOE008C,auYJ
newz089.rwl,MOE008D,auYK
newz089.rwl,MOE008M,auYL
newz089.rwl,MOE018A,auYM
newz089.rwl,MOE018B,auYN
newz089.rwl,MOE018C,auYO
newz089.rwl,MOE018D,auYP
newz089.rwl,MOE019C,auYQ
